project_code,mounting_zone,environment_rating,wire_count,connector_count,splice_count,branch_points,avg_wire_length_m,total_wire_length_m,dominant_awg,awg_mix_entropy,insulation,shield_type,bundle_protection,connector_series,voltage_level,continuity_test,insulation_resistance_test,hipot_test,harness_weight_kg,current_max_amp,complexity_score,estimated_build_time_hr,estimated_material_cost_usd,defect_risk_prob,likely_defect
P4524,Cabin,Normal,131,33,6,6,1.333,174.63,14,0.152,PTFE,None,Lacing Cord,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,5.199,20,6.77,25.3,1284.64,0.268,0
P6423,Cabin,Normal,109,29,4,2,1.571,171.21,24,0.442,XL-ETFE,Foil+Braid,Spiral Wrap,MIL-DTL-38999,270VDC,TRUE,TRUE,TRUE,1.51,2,7.43,19.61,1322.61,0.256,0
P5674,Cargo Bay,Normal,67,15,1,0,1.844,123.54,14,0.592,PVC,Braid,Braided Sleeving,MIL-DTL-26482,230VAC 50Hz,TRUE,TRUE,TRUE,4.227,20,6.2,17.12,531.02,0.243,1
P3206,Cabin,Normal,114,32,4,2,1.456,166.01,14,0.839,XL-ETFE,None,Braided Sleeving,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,5.672,20,6.39,19.88,1488.25,0.228,1
P4132,Avionics Bay,Normal,61,19,2,2,1.138,69.44,26,0.162,Polyimide,Braid,Lacing Cord,MIL-DTL-38999,270VDC,TRUE,TRUE,TRUE,0.442,1.2,6.76,19.38,821.79,0.29,0
P9142,Avionics Bay,Normal,75,17,4,4,2.078,155.86,14,0.264,XL-ETFE,Foil,Braided Sleeving,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,TRUE,4.99,20,6.64,16.43,807.05,0.233,1
P7763,Cargo Bay,Normal,66,14,4,3,0.851,56.15,18,1,XL-ETFE,Foil,Heat Shrink,D-Sub,28VDC,TRUE,TRUE,FALSE,1.167,8,6.43,16.73,230.16,0.228,0
P2842,Cockpit,Normal,141,38,5,7,1.6,225.6,14,0.824,XL-ETFE,Braid,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,8.072,20,7.76,25.3,1881.24,0.268,0
P1611,Cockpit,Vibration-Prone,54,12,4,2,2.019,109.03,22,0.731,XL-ETFE,Braid,Lacing Cord,MIL-DTL-38999,270VDC,TRUE,TRUE,TRUE,1.317,3,6.92,17.39,609.15,0.402,1
P5964,Cockpit,High Temp,38,12,0,4,1.85,70.32,16,0.933,XL-ETFE,Foil,Braided Sleeving,Micro-D,115VAC 400Hz,TRUE,TRUE,TRUE,1.925,11.05,6.14,14.99,399.03,0.22,0
P7617,Wing Root,Normal,103,27,4,6,1.788,184.2,22,0.527,XL-ETFE,Foil,Braided Sleeving,D-Sub,28VDC,TRUE,FALSE,FALSE,2.139,3,7.11,22,470.46,0.248,0
P9635,Avionics Bay,Normal,103,29,1,5,1.275,131.37,16,0.363,PTFE,Foil,Braided Sleeving,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,3.22,13,6.87,19.18,781.09,0.24,0
P9662,Cargo Bay,High Temp,97,26,1,4,2.41,233.81,18,0.552,XL-ETFE,Braid,Spiral Wrap,MIL-DTL-83723,270VDC,TRUE,TRUE,TRUE,4.465,6.8,7.38,19.28,1111.3,0.255,0
P1863,Wing Root,Moisture-Prone,92,22,2,4,1.913,175.97,20,0.802,PTFE,None,Braided Sleeving,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,FALSE,2.612,5,6.4,21.11,926.76,0.228,0
P4832,Wing Root,High Temp,10,4,0,0,0.345,3.45,20,0.573,XL-ETFE,Foil,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,0.051,4.25,4.66,13.16,158.53,0.207,0
P7601,Cabin,High Temp,115,29,4,5,1.737,199.76,18,0.409,XL-ETFE,Foil+Braid,Lacing Cord,D-Sub,115VAC 400Hz,TRUE,TRUE,TRUE,3.707,6.8,8.04,24.05,493.13,0.307,1
P8529,Cargo Bay,Normal,63,14,2,4,1.673,105.41,24,0.402,PTFE,Braid,Lacing Cord,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,0.922,2,6.54,20.07,584.8,0.259,1
P4796,Engine Nacelle,High Temp,94,20,3,4,1.487,139.76,18,0.591,XL-ETFE,Foil,Lacing Cord,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,2.689,6.8,7.2,18.98,610.02,0.278,0
P2620,Wing Root,Vibration-Prone,86,20,4,5,1.386,119.17,16,0.482,XL-ETFE,Foil,Heat Shrink,D-Sub,28VDC,TRUE,FALSE,FALSE,2.992,13,7.34,22.58,353.97,0.384,0
P5537,Engine Nacelle,Normal,62,17,5,3,2.251,139.54,22,0.542,PVC,Braid,Lacing Cord,D-Sub,115VAC 400Hz,TRUE,TRUE,TRUE,1.625,3,6.76,19.12,324.82,0.29,0
P2059,Cargo Bay,Normal,73,19,3,3,1.712,124.96,18,0.564,PVC,None,Spiral Wrap,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,2.278,8,5.89,18.29,859.77,0.235,0
P6465,Avionics Bay,Normal,60,21,2,1,2.004,120.24,20,0.299,PTFE,None,Heat Shrink,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,1.616,5,5.61,12.88,535.78,0.205,0
P7374,Avionics Bay,Normal,50,7,5,0,1.001,50.03,20,0.924,XL-ETFE,Braid,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,0.798,5,5.99,16.52,332.24,0.216,0
P5899,Avionics Bay,Vibration-Prone,107,22,7,3,1.685,180.31,22,0.598,PVC,Foil+Braid,Spiral Wrap,Micro-D,28VDC,TRUE,TRUE,FALSE,2.123,3,8,23.35,763.02,0.437,0
P5237,Cabin,High Temp,140,38,6,4,1.524,213.4,24,0.311,XL-ETFE,Foil,Spiral Wrap,MIL-DTL-26482,115VAC 400Hz,TRUE,TRUE,TRUE,1.833,1.7,7.89,26.92,953.04,0.272,0
P6118,Avionics Bay,Normal,110,22,1,6,2.041,224.56,16,0.635,PVC,Braid,Spiral Wrap,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,5.812,13,7.04,18.95,1218.57,0.268,0
P6491,Engine Nacelle,High Temp,74,21,0,2,1.614,119.4,26,0.741,PTFE,Foil,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,0.854,1.02,6.66,14.5,927.31,0.233,0
P6987,Cargo Bay,High Temp,42,13,1,0,2.027,85.15,24,0.351,XL-ETFE,Foil+Braid,Braided Sleeving,Micro-D,28VDC,TRUE,TRUE,FALSE,0.737,1.7,6.52,14.91,405.21,0.229,0
P4667,Cargo Bay,Vibration-Prone,43,4,1,3,1.426,61.33,18,0.932,PTFE,None,Heat Shrink,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,FALSE,1.199,8,5.25,11.9,243.23,0.308,0
P1845,Avionics Bay,Normal,90,17,0,5,1.082,97.34,20,0.564,XL-ETFE,Foil+Braid,Heat Shrink,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,1.449,5,6.85,17.04,490.98,0.239,1
P1548,Avionics Bay,Normal,79,21,2,4,2.02,159.58,16,0.715,XL-ETFE,Foil,Lacing Cord,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,4.194,13,6.63,20.45,888.83,0.262,0
P8061,Cockpit,Normal,72,13,1,4,0.902,64.95,22,0.389,XL-ETFE,Foil,Heat Shrink,MIL-DTL-38999,270VDC,TRUE,FALSE,TRUE,0.734,3,6.25,13.72,593.22,0.222,0
P9053,Engine Nacelle,High Temp,75,14,3,4,0.698,52.33,12,0.686,PTFE,Braid,Lacing Cord,D-Sub,28VDC,TRUE,TRUE,FALSE,2.28,21.25,7.13,16.35,243.55,0.275,0
P5066,Cargo Bay,Normal,70,15,4,3,2.109,147.64,14,0.284,XL-ETFE,None,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,4.52,20,5.82,17.61,827.27,0.238,0
P4644,Cargo Bay,Normal,32,10,0,2,2.061,65.94,22,0.666,PTFE,Foil,Heat Shrink,MIL-DTL-26482,270VDC,TRUE,TRUE,TRUE,0.787,3,5.44,12.71,252.96,0.201,0
P2600,Wing Root,Normal,103,25,2,2,1.376,141.75,26,0.529,PTFE,None,Braided Sleeving,Micro-D,28VDC,TRUE,TRUE,FALSE,0.927,1.2,6.07,18.9,800.5,0.219,1
P5089,Cargo Bay,Normal,58,12,1,0,1.975,114.56,12,0.406,PTFE,None,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,4.496,25,5.12,13.6,672.61,0.218,0
P7670,Cargo Bay,Normal,55,4,2,4,1.186,65.24,20,0.189,PTFE,None,Heat Shrink,MIL-DTL-26482,115VAC 400Hz,TRUE,TRUE,TRUE,0.857,5,5.03,12.14,149.87,0.191,0
P4139,Cargo Bay,Normal,87,14,1,4,1.518,132.1,24,0.611,PTFE,Foil,Heat Shrink,D-Sub,28VDC,TRUE,TRUE,FALSE,1.205,2,6.39,15.46,300.86,0.226,0
P9046,Wing Root,High Temp,69,16,5,5,1.306,90.12,18,0.791,PTFE,Braid,Lacing Cord,MIL-DTL-38999,230VAC 50Hz,TRUE,TRUE,FALSE,1.803,6.8,7.31,21.03,720.56,0.283,0
P9737,Engine Nacelle,Vibration-Prone,32,6,3,4,1.74,55.69,16,0.57,PTFE,Braid,Lacing Cord,MIL-DTL-38999,230VAC 50Hz,TRUE,TRUE,TRUE,1.423,13,6.38,13.12,323.66,0.381,0
P9191,Cockpit,High Temp,84,23,3,4,1.725,144.91,20,0.613,XL-ETFE,Braid,Spiral Wrap,Micro-D,115VAC 400Hz,TRUE,TRUE,FALSE,2.178,4.25,7.43,21.07,723.8,0.257,0
P3493,Cargo Bay,High Temp,68,20,1,2,1.883,128.02,16,0.596,XL-ETFE,Braid,Heat Shrink,D-Sub,270VDC,TRUE,TRUE,TRUE,3.288,11.05,6.95,17.78,342.79,0.242,0
P7817,Wing Root,Normal,136,25,2,5,1.54,209.41,22,0.467,Polyimide,Foil,Braided Sleeving,MIL-DTL-26482,270VDC,TRUE,TRUE,TRUE,2.403,3,7.26,22.14,734.93,0.276,0
P7850,Wing Root,Normal,76,15,1,5,1.569,119.25,18,0.618,XL-ETFE,Braid,Braided Sleeving,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,2.307,8,6.62,20.06,662.96,0.234,0
P7301,Cockpit,Normal,70,13,0,4,1.151,80.55,22,1,Polyimide,Braid,Lacing Cord,D-Sub,28VDC,TRUE,TRUE,FALSE,1.023,3,6.53,15.76,198.41,0.281,1
P4116,Engine Nacelle,High Temp,96,20,2,6,1.511,145.04,26,0.656,XL-ETFE,Foil,Heat Shrink,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,1.021,1.02,7.21,19.36,542.9,0.25,0
P8681,Cargo Bay,Normal,93,26,0,3,1.798,167.18,18,0.871,XL-ETFE,Foil+Braid,Braided Sleeving,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,3.394,8,6.97,18.8,751.55,0.243,1
P5686,Cargo Bay,Normal,96,29,3,7,1.336,128.29,16,0.866,PTFE,Foil,Spiral Wrap,MIL-DTL-38999,270VDC,TRUE,FALSE,TRUE,3.469,13,7.08,20.62,1410.15,0.247,0
P5177,Avionics Bay,Normal,74,23,1,3,1.946,143.99,18,0.271,PVC,Foil,Braided Sleeving,MIL-DTL-38999,270VDC,TRUE,TRUE,TRUE,2.597,8,6.48,18.5,1060.8,0.251,0
P1551,Avionics Bay,Vibration-Prone,73,15,4,8,1.356,98.98,22,0.652,PTFE,Braid,Lacing Cord,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,1.178,3,7.44,18.35,736.43,0.421,0
P8418,Wing Root,Normal,111,28,6,4,0.866,96.16,24,0.439,XL-ETFE,None,Lacing Cord,D-Sub,115VAC 400Hz,TRUE,TRUE,TRUE,0.807,2,6.52,24.68,349.36,0.261,0
P4158,Wing Root,Normal,41,4,1,4,1.153,47.27,20,0.638,XL-ETFE,Foil,Lacing Cord,D-Sub,115VAC 400Hz,TRUE,TRUE,TRUE,0.714,5,5.44,11.16,127.16,0.226,1
P4240,Wing Root,Normal,84,26,4,4,1.518,127.53,16,0.409,XL-ETFE,Foil,Heat Shrink,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,3.155,13,6.9,20.74,727.92,0.242,0
P1111,Cockpit,Normal,76,17,4,2,1.137,86.44,20,0.856,Polyimide,Foil+Braid,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.361,5,7.19,21.46,784.84,0.304,0
P3882,Cargo Bay,Vibration-Prone,75,26,3,5,1.85,138.78,18,0.779,XL-ETFE,None,Braided Sleeving,D-Sub,28VDC,TRUE,TRUE,FALSE,2.638,8,6.65,20.05,391.27,0.358,1
P3670,Cockpit,Normal,74,21,1,5,1.599,118.35,14,0.565,PTFE,None,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,3.836,20,5.86,17.08,1027.98,0.213,0
P8693,Avionics Bay,Normal,89,27,6,5,1.383,123.12,22,0.58,PTFE,Foil,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.445,3,7.1,22.26,1200.71,0.248,1
P9102,Avionics Bay,Vibration-Prone,15,4,2,0,1.702,25.53,24,0.697,XL-ETFE,Foil,Braided Sleeving,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,0.237,2,5.2,14.6,107.61,0.308,1
P5681,Cargo Bay,Normal,59,14,3,0,1.437,84.8,12,0.902,XL-ETFE,Foil,Heat Shrink,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,3.848,25,6.05,15.8,597.77,0.217,0
P8810,Cockpit,Vibration-Prone,36,13,0,0,1.852,66.69,18,0.447,Polyimide,None,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.188,8,5.47,11.81,597.88,0.342,0
P6267,Engine Nacelle,Normal,79,16,2,1,1.753,138.52,26,0.402,PVC,Foil,Braided Sleeving,Micro-D,28VDC,TRUE,TRUE,FALSE,0.927,1.2,6.31,14.05,525.39,0.245,1
P2987,Avionics Bay,Vibration-Prone,163,46,2,7,1.844,300.64,14,0.447,XL-ETFE,Braid,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,9.994,20,8.24,29.01,2329.26,0.456,0
P4006,Engine Nacelle,High Temp,90,20,3,5,1.796,161.67,24,0.901,Polyimide,None,Lacing Cord,D-Sub,28VDC,TRUE,TRUE,FALSE,1.484,1.7,6.76,19.43,349.91,0.29,0
P8583,Cockpit,Moisture-Prone,62,21,3,5,1.635,101.36,18,0.393,PTFE,Braid,Spiral Wrap,MIL-DTL-38999,230VAC 50Hz,TRUE,FALSE,TRUE,1.875,8,7.17,19.38,980.47,0.249,0
P5016,Cargo Bay,Vibration-Prone,137,38,5,4,1.374,188.19,10,0.503,PTFE,None,Lacing Cord,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,10.357,30,7.24,20.63,1814.07,0.415,1
P7659,Avionics Bay,High Temp,90,19,3,8,1.245,112.08,14,0.75,XL-ETFE,Foil+Braid,Heat Shrink,Micro-D,115VAC 400Hz,TRUE,TRUE,TRUE,3.954,17,7.74,20.68,654.15,0.266,0
P5965,Cockpit,Normal,88,19,0,3,1.712,150.66,20,0.814,PTFE,Braid,Heat Shrink,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,2.354,5,6.57,20.77,806.72,0.233,0
P9011,Cockpit,Normal,59,13,0,5,1.788,105.52,10,0.424,XL-ETFE,Foil+Braid,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,6.001,30,6.49,14.35,728.42,0.228,1
P6152,Wing Root,Normal,105,23,3,3,2.217,232.79,14,0.316,Polyimide,Foil,Spiral Wrap,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,7.534,20,7.06,20.33,1040.38,0.269,0
P4839,Wing Root,Normal,75,19,5,2,1.579,118.39,12,0.684,PTFE,Braid,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,5.155,25,6.86,20.06,1014.84,0.24,0
P7587,Avionics Bay,Normal,38,8,0,2,1.223,46.48,20,0.933,PTFE,Foil+Braid,Lacing Cord,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,0.742,5,5.88,13.2,331.3,0.238,0
P9129,Cargo Bay,Normal,73,19,4,5,1.316,96.06,22,0.358,XL-ETFE,Foil+Braid,Heat Shrink,MIL-DTL-38999,230VAC 50Hz,TRUE,TRUE,TRUE,1.078,3,7.17,16.49,888.2,0.248,0
P6783,Avionics Bay,High Temp,47,16,2,0,1.677,78.81,18,0.424,PTFE,None,Braided Sleeving,MIL-DTL-38999,270VDC,TRUE,TRUE,TRUE,1.397,6.8,5.66,13.49,777.18,0.207,1
P9949,Cockpit,Normal,125,35,5,6,1.835,229.34,16,0.575,Polyimide,Braid,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,5.865,13,7.83,27.51,1730.64,0.295,1
P3614,Cargo Bay,Vibration-Prone,153,37,8,8,1.684,257.7,22,0.728,XL-ETFE,Foil+Braid,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,FALSE,FALSE,3.112,3,8.68,28.8,1859.58,0.472,0
P5852,Wing Root,Moisture-Prone,86,25,1,4,1.765,151.8,24,1,PTFE,None,Lacing Cord,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,1.419,2,6.32,17.79,615.47,0.252,0
P3064,Cargo Bay,Normal,28,7,1,2,1.513,42.37,20,0.541,PVC,Braid,Heat Shrink,MIL-DTL-38999,270VDC,TRUE,TRUE,TRUE,0.628,5,5.57,14.55,355.97,0.225,0
P1800,Cabin,High Temp,78,13,2,4,1.454,113.39,12,0.929,XL-ETFE,Braid,Braided Sleeving,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,5.171,21.25,7.04,18.36,655.81,0.245,0
P7571,Cargo Bay,Normal,134,24,4,5,1.589,212.99,20,0.574,Polyimide,Foil+Braid,Spiral Wrap,Micro-D,28VDC,TRUE,TRUE,FALSE,3.178,5,7.83,22.6,865.38,0.293,0
P3500,Avionics Bay,Normal,145,28,6,8,1.398,202.74,20,0.5,PTFE,None,Lacing Cord,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,2.838,5,6.81,20.5,1059.27,0.268,0
P7209,Cargo Bay,Moisture-Prone,66,15,2,2,1.892,124.88,22,0.526,XL-ETFE,Braid,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.45,3,6.82,13.82,703.86,0.265,0
P4663,Cargo Bay,High Temp,65,18,3,0,1.353,87.96,14,0.38,XL-ETFE,Foil+Braid,Heat Shrink,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,TRUE,2.884,17,7.09,16.24,768.72,0.245,0
P3482,Engine Nacelle,Moisture-Prone,81,25,2,1,1.728,139.93,18,0.596,PTFE,None,Heat Shrink,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,2.567,8,6.19,17.81,636.08,0.222,0
P2979,Engine Nacelle,Normal,113,32,3,9,1.347,152.22,18,0.875,PTFE,Braid,Heat Shrink,Micro-D,28VDC,TRUE,FALSE,FALSE,3.093,8,7.5,23.6,997.17,0.26,0
P9479,Cockpit,Normal,84,18,2,2,1.679,141.03,22,0.475,PTFE,Braid,Lacing Cord,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,1.621,3,6.7,17.7,747.06,0.263,0
P7176,Engine Nacelle,Normal,115,24,8,4,1.473,169.35,12,0.708,XL-ETFE,None,Spiral Wrap,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,7.056,25,6.55,22.79,756.35,0.233,0
P7669,Wing Root,Normal,99,27,3,2,1.373,135.9,18,0.431,XL-ETFE,None,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.412,8,6.16,20.61,1219.07,0.222,0
P6269,Wing Root,Vibration-Prone,78,14,4,1,0.774,60.37,24,0.802,PTFE,Braid,Lacing Cord,Micro-D,28VDC,TRUE,TRUE,FALSE,0.571,2,7.11,18.34,419.05,0.409,1
P7833,Avionics Bay,Normal,59,16,0,0,1.511,89.15,16,0.264,PTFE,Foil+Braid,Heat Shrink,MIL-DTL-26482,115VAC 400Hz,TRUE,TRUE,TRUE,2.14,13,6.24,14.74,445.84,0.222,0
P5992,Cockpit,Normal,109,26,6,6,1.337,145.76,14,0.384,PTFE,Foil,Braided Sleeving,Micro-D,28VDC,TRUE,TRUE,FALSE,4.784,20,7.23,22.23,880.35,0.251,0
P9032,Cabin,Vibration-Prone,141,27,9,6,1.659,233.97,12,0.533,Polyimide,Braid,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,9.892,25,8.44,28.32,1423.6,0.493,1
P3339,Cabin,Moisture-Prone,94,18,4,0,1.73,162.6,24,0.393,XL-ETFE,Braid,Lacing Cord,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,1.42,2,7.05,18.74,713.02,0.274,0
P9258,Cabin,Normal,61,19,2,1,1.132,69.07,18,0.57,XL-ETFE,Foil+Braid,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.324,8,6.69,19.55,848.3,0.236,0
P1497,Avionics Bay,Vibration-Prone,75,17,3,3,0.787,59.04,22,0.883,PTFE,Foil,Braided Sleeving,Micro-D,28VDC,TRUE,TRUE,FALSE,0.734,3,7.03,16.4,508.99,0.37,1
P8979,Cockpit,High Temp,96,27,4,5,0.623,59.78,20,0.599,XL-ETFE,Foil,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,FALSE,FALSE,0.896,4.25,7.46,18.18,1137.58,0.256,0
P6776,Cargo Bay,Normal,118,29,3,7,1.387,163.65,18,0.436,PTFE,None,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.908,8,6.52,21.35,1291.94,0.232,0
P3155,Engine Nacelle,Normal,90,32,5,3,1.765,158.87,12,0.592,XL-ETFE,Braid,Lacing Cord,MIL-DTL-26482,115VAC 400Hz,TRUE,FALSE,FALSE,6.795,25,7.27,25.68,911.01,0.283,0
P4331,Cabin,Moisture-Prone,114,25,4,5,2.016,229.82,20,0.459,Polyimide,None,Spiral Wrap,D-Sub,28VDC,TRUE,TRUE,FALSE,3.191,5,6.97,21.11,475.98,0.267,0
P6717,Avionics Bay,Normal,62,9,0,1,1.248,77.38,12,0.565,PTFE,Foil,Braided Sleeving,MIL-DTL-26482,230VAC 50Hz,TRUE,TRUE,TRUE,3.292,25,5.67,16.84,295.45,0.208,0
P7587,Wing Root,High Temp,95,21,2,6,2.358,224.03,16,0.57,XL-ETFE,None,Spiral Wrap,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,5.452,11.05,6.56,16.28,675.94,0.231,0
P8436,Cabin,Normal,69,14,2,3,1.698,117.17,22,0.351,XL-ETFE,Braid,Lacing Cord,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,1.313,3,6.54,14.98,383.66,0.257,1
P2310,Avionics Bay,High Temp,10,4,2,2,1.887,18.87,22,0.428,XL-ETFE,None,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,0.205,2.55,4.42,9.82,177.27,0.177,0
P2794,Cabin,Moisture-Prone,67,13,2,5,2.062,138.15,26,0.639,PTFE,None,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,0.923,1.2,6.02,15.46,693.53,0.243,0
P7407,Engine Nacelle,High Temp,98,25,3,8,1.213,118.86,20,0.498,PTFE,None,Braided Sleeving,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,1.663,4.25,6.8,17.37,667.46,0.238,0
P9983,Cockpit,Normal,49,9,0,2,1.318,64.57,20,0.548,XL-ETFE,Foil,Heat Shrink,MIL-DTL-26482,115VAC 400Hz,TRUE,TRUE,FALSE,0.958,5,5.62,12.76,273.51,0.206,0
P1623,Cockpit,Normal,78,19,5,3,2.332,181.93,18,0.734,PTFE,Foil,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,3.599,8,6.72,19.78,951.6,0.236,0
P5583,Cockpit,Normal,98,18,2,5,2.017,197.64,12,0.51,XL-ETFE,Braid,Braided Sleeving,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,8.318,25,6.94,18.73,898.9,0.242,0
P2358,Cargo Bay,Normal,28,4,3,0,1.556,43.57,24,0.627,XL-ETFE,None,Lacing Cord,MIL-DTL-38999,270VDC,TRUE,TRUE,TRUE,0.38,2,4.43,11.73,203.44,0.201,0
P7409,Avionics Bay,Normal,97,24,3,8,1.371,132.96,16,0.275,XL-ETFE,Foil,Lacing Cord,Micro-D,28VDC,TRUE,TRUE,FALSE,3.199,13,7.02,19.21,745.86,0.273,0
P8014,Cabin,Normal,96,23,8,7,1.668,160.16,20,0.528,PTFE,None,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.255,5,6.54,19.17,1048.44,0.231,0
P6848,Cabin,Normal,82,19,3,0,1.073,87.98,22,0.662,XL-ETFE,Foil+Braid,Heat Shrink,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,1.049,3,6.82,16.8,479.88,0.238,0
P3925,Cockpit,Normal,54,9,5,5,1.869,100.93,16,0.364,XL-ETFE,None,Spiral Wrap,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,TRUE,2.357,13,5.6,16.38,435.35,0.206,0
P4805,Engine Nacelle,Normal,76,12,1,4,1.389,105.54,24,0.527,PTFE,Foil+Braid,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,0.947,2,6.7,15.82,608.63,0.234,0
P4878,Cockpit,Normal,94,15,3,5,1.505,141.48,22,0.666,PTFE,Braid,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.688,3,6.91,17.26,788.87,0.241,0
P2853,Cargo Bay,Moisture-Prone,75,15,3,3,1.974,148.02,22,0.687,XL-ETFE,Braid,Heat Shrink,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,1.774,3,7.03,22.22,660.09,0.246,0
P2359,Cockpit,High Temp,32,8,2,0,1.101,35.24,16,0.274,XL-ETFE,Braid,Lacing Cord,MIL-DTL-26482,115VAC 400Hz,TRUE,TRUE,FALSE,0.848,11.05,6.03,10.35,219.18,0.241,0
P7381,Avionics Bay,Normal,76,17,2,4,1.638,124.52,22,0.64,PTFE,Foil,Lacing Cord,MIL-DTL-83723,28VDC,TRUE,FALSE,FALSE,1.479,3,6.51,16.41,682.97,0.257,0
P3106,Engine Nacelle,Vibration-Prone,63,14,5,2,1.324,83.43,26,0.463,PVC,Foil+Braid,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,0.565,1.2,7.35,19.75,668.5,0.411,0
P3348,Engine Nacelle,Vibration-Prone,68,22,5,2,1.487,101.13,26,0.474,PTFE,Braid,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,0.687,1.2,7.38,19.47,977.86,0.42,1
P9576,Avionics Bay,Normal,79,25,3,3,1.671,132.02,22,0.441,XL-ETFE,Braid,Heat Shrink,Micro-D,230VAC 50Hz,TRUE,TRUE,FALSE,1.507,3,6.96,22.8,763.22,0.244,0
P9425,Avionics Bay,Normal,54,14,1,1,1.946,105.1,16,0.816,XL-ETFE,Braid,Heat Shrink,Micro-D,230VAC 50Hz,TRUE,FALSE,TRUE,2.816,13,6.16,15.08,514.39,0.22,1
